Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
93169.00,1220.00,487.43,245.20,94394.00,344.42,0.86,0.99,0.73,0.79,1.99,0.71,aaaeraaaevelik
105158.00,1271.15,490.94,273.84,106080.00,365.91,0.83,0.99,0.70,0.82,1.79,0.75,aaaeraaaevelik
88750.00,1146.01,440.03,257.70,89450.00,336.15,0.81,0.99,0.73,0.85,1.71,0.76,aaaeraaaevelik
61627.00,953.87,367.69,214.43,62333.00,280.12,0.81,0.99,0.75,0.85,1.71,0.76,aaaeraaaevelik
67306.00,998.62,375.02,229.26,68240.00,292.74,0.79,0.99,0.69,0.85,1.64,0.78,aaaeraaaevelik
73972.00,1082.56,431.52,219.08,75032.00,306.89,0.86,0.99,0.61,0.79,1.97,0.71,aaaeraaaevelik
65388.00,984.96,385.89,216.50,66018.00,288.54,0.83,0.99,0.75,0.85,1.78,0.75,aaaeraaaevelik
61584.00,996.60,398.97,198.14,62692.00,280.02,0.87,0.98,0.65,0.78,2.01,0.70,aaaeraaaevelik
77905.00,1038.55,371.93,267.63,78770.00,314.95,0.69,0.99,0.75,0.91,1.39,0.85,aaaeraaaevelik
82133.00,1153.06,444.59,235.64,83220.00,323.38,0.85,0.99,0.73,0.78,1.89,0.73,aaaeraaaevelik
95029.00,1182.33,445.37,273.92,95885.00,347.84,0.79,0.99,0.69,0.85,1.63,0.78,aaaeraaaevelik
78148.00,1058.41,399.54,250.09,78916.00,315.44,0.78,0.99,0.74,0.88,1.60,0.79,aaaeraaaevelik
103042.00,1223.29,455.17,289.97,104062.00,362.21,0.77,0.99,0.76,0.87,1.57,0.80,aaaeraaaevelik
68506.00,1003.80,386.35,226.91,69259.00,295.34,0.81,0.99,0.73,0.85,1.70,0.76,aaaeraaaevelik
85592.00,1149.04,460.02,237.84,86307.00,330.12,0.86,0.99,0.72,0.81,1.93,0.72,aaaeraaaevelik
72637.00,1021.45,398.59,232.61,73209.00,304.11,0.81,0.99,0.74,0.87,1.71,0.76,aaaeraaaevelik
76078.00,1062.61,417.19,232.99,76852.00,311.23,0.83,0.99,0.71,0.85,1.79,0.75,aaaeraaaevelik
86012.00,1120.92,436.39,251.67,86654.00,330.93,0.82,0.99,0.73,0.86,1.73,0.76,aaaeraaaevelik
80481.00,1105.16,440.67,233.37,81334.00,320.11,0.85,0.99,0.67,0.83,1.89,0.73,aaaeraaaevelik
86298.00,1129.95,433.96,253.89,87075.00,331.48,0.81,0.99,0.72,0.85,1.71,0.76,aaaeraaaevelik
78819.00,1074.63,426.06,235.91,79437.00,316.79,0.83,0.99,0.75,0.86,1.81,0.74,aaaeraaaevelik
83237.00,1093.64,427.70,248.61,83744.00,325.55,0.81,0.99,0.75,0.87,1.72,0.76,aaaeraaaevelik
74041.00,1062.65,427.90,221.47,74848.00,307.04,0.86,0.99,0.66,0.82,1.93,0.72,aaaeraaaevelik
73257.00,1020.33,395.48,236.64,73807.00,305.41,0.80,0.99,0.78,0.88,1.67,0.77,aaaeraaaevelik
82405.00,1136.97,459.93,228.81,83195.00,323.92,0.87,0.99,0.63,0.80,2.01,0.70,aaaeraaaevelik
70087.00,1004.98,389.70,229.82,70788.00,298.73,0.81,0.99,0.69,0.87,1.70,0.77,aaaeraaaevelik
73959.00,1040.05,407.32,232.38,74636.00,306.87,0.82,0.99,0.73,0.86,1.75,0.75,aaaeraaaevelik
76930.00,1063.15,417.35,235.20,77536.00,312.97,0.83,0.99,0.67,0.86,1.77,0.75,aaaeraaaevelik
75110.00,1061.80,417.43,231.09,76105.00,309.25,0.83,0.99,0.67,0.84,1.81,0.74,aaaeraaaevelik
69132.00,961.53,342.38,257.63,69616.00,296.68,0.66,0.99,0.74,0.94,1.33,0.87,aaaeraaaevelik
70905.00,996.61,384.20,235.73,71369.00,300.46,0.79,0.99,0.72,0.90,1.63,0.78,aaaeraaaevelik
95150.00,1243.63,513.25,239.38,96438.00,348.06,0.88,0.99,0.75,0.77,2.14,0.68,aaaeraaaevelik
72109.00,1031.80,414.92,221.83,72725.00,303.01,0.85,0.99,0.68,0.85,1.87,0.73,aaaeraaaevelik
64916.00,985.07,390.79,212.08,65486.00,287.50,0.84,0.99,0.65,0.84,1.84,0.74,aaaeraaaevelik
83314.00,1125.58,446.35,239.79,84208.00,325.70,0.84,0.99,0.64,0.83,1.86,0.73,aaaeraaaevelik
96327.00,1179.48,453.47,271.26,97246.00,350.21,0.80,0.99,0.74,0.87,1.67,0.77,aaaeraaaevelik
67355.00,986.93,382.84,225.59,67861.00,292.85,0.81,0.99,0.70,0.87,1.70,0.76,aaaeraaaevelik
69297.00,1023.18,403.68,219.32,70009.00,297.04,0.84,0.99,0.71,0.83,1.84,0.74,aaaeraaaevelik
104535.00,1259.32,501.95,266.62,105577.00,364.83,0.85,0.99,0.72,0.83,1.88,0.73,aaaeraaaevelik
82798.00,1110.09,436.56,242.38,83578.00,324.69,0.83,0.99,0.70,0.84,1.80,0.74,aaaeraaaevelik
76840.00,1087.25,424.98,232.03,77894.00,312.79,0.84,0.99,0.66,0.82,1.83,0.74,aaaeraaaevelik
69924.00,1006.76,388.47,229.70,70530.00,298.38,0.81,0.99,0.73,0.87,1.69,0.77,aaaeraaaevelik
68275.00,1023.72,413.00,211.04,68876.00,294.84,0.86,0.99,0.71,0.82,1.96,0.71,aaaeraaaevelik
63011.00,961.16,371.56,216.59,63511.00,283.25,0.81,0.99,0.73,0.86,1.72,0.76,aaaeraaaevelik
86209.00,1112.01,415.78,265.08,87212.00,331.31,0.77,0.99,0.73,0.88,1.57,0.80,aaaeraaaevelik
75039.00,1123.47,453.25,213.62,76007.00,309.10,0.88,0.99,0.75,0.75,2.12,0.68,aaaeraaaevelik
68249.00,1031.97,415.39,210.58,68853.00,294.78,0.86,0.99,0.63,0.81,1.97,0.71,aaaeraaaevelik
75716.00,1064.63,427.80,225.93,76238.00,310.49,0.85,0.99,0.74,0.84,1.89,0.73,aaaeraaaevelik
83911.00,1124.36,438.48,245.00,84745.00,326.86,0.83,0.99,0.68,0.83,1.79,0.75,aaaeraaaevelik
65317.00,968.90,371.16,224.48,65905.00,288.38,0.80,0.99,0.76,0.87,1.65,0.78,aaaeraaaevelik
60409.00,988.19,406.47,190.24,61098.00,277.34,0.88,0.99,0.73,0.78,2.14,0.68,aaaeraaaevelik
65102.00,997.98,393.18,211.91,65791.00,287.91,0.84,0.99,0.73,0.82,1.86,0.73,aaaeraaaevelik
75648.00,1105.07,383.84,251.52,76498.00,310.35,0.76,0.99,0.75,0.78,1.53,0.81,aaaeraaaevelik
58889.00,952.73,372.02,203.46,59534.00,273.82,0.84,0.99,0.68,0.82,1.83,0.74,aaaeraaaevelik
101872.00,1235.25,480.96,270.78,102668.00,360.15,0.83,0.99,0.68,0.84,1.78,0.75,aaaeraaaevelik
71905.00,1055.36,411.16,224.59,72726.00,302.58,0.84,0.99,0.65,0.81,1.83,0.74,aaaeraaaevelik
88424.00,1180.58,471.69,240.01,89586.00,335.54,0.86,0.99,0.74,0.80,1.97,0.71,aaaeraaaevelik
102978.00,1247.20,487.19,270.44,104151.00,362.10,0.83,0.99,0.67,0.83,1.80,0.74,aaaeraaaevelik
70464.00,1028.71,406.33,222.33,71028.00,299.53,0.84,0.99,0.72,0.84,1.83,0.74,aaaeraaaevelik
99386.00,1228.03,485.85,261.20,100357.00,355.73,0.84,0.99,0.64,0.83,1.86,0.73,aaaeraaaevelik
74353.00,1046.39,409.59,231.92,75034.00,307.68,0.82,0.99,0.71,0.85,1.77,0.75,aaaeraaaevelik
72566.00,1030.82,401.73,230.45,73117.00,303.96,0.82,0.99,0.74,0.86,1.74,0.76,aaaeraaaevelik
66174.00,985.09,366.50,231.77,66931.00,290.27,0.77,0.99,0.69,0.86,1.58,0.79,aaaeraaaevelik
78483.00,1129.94,462.39,217.19,79325.00,316.11,0.88,0.99,0.59,0.77,2.13,0.68,aaaeraaaevelik
78888.00,1198.95,393.63,258.02,80294.00,316.93,0.76,0.98,0.74,0.69,1.53,0.81,aaaeraaaevelik
69453.00,1010.88,399.33,221.74,70048.00,297.37,0.83,0.99,0.76,0.85,1.80,0.74,aaaeraaaevelik
67969.00,1007.37,395.99,221.21,68463.00,294.18,0.83,0.99,0.74,0.84,1.79,0.74,aaaeraaaevelik
81893.00,1127.30,441.52,237.53,83087.00,322.91,0.84,0.99,0.72,0.81,1.86,0.73,aaaeraaaevelik
77054.00,1096.30,439.67,224.28,77705.00,313.22,0.86,0.99,0.63,0.81,1.96,0.71,aaaeraaaevelik
96178.00,1247.70,511.91,240.03,97043.00,349.94,0.88,0.99,0.75,0.78,2.13,0.68,aaaeraaaevelik
71768.00,1025.53,406.57,225.31,72315.00,302.29,0.83,0.99,0.72,0.86,1.80,0.74,aaaeraaaevelik
81013.00,1109.73,425.10,244.33,82136.00,321.17,0.82,0.99,0.69,0.83,1.74,0.76,aaaeraaaevelik
93313.00,1189.41,463.78,257.22,94188.00,344.69,0.83,0.99,0.72,0.83,1.80,0.74,aaaeraaaevelik
75795.00,1052.09,404.63,238.95,76547.00,310.65,0.81,0.99,0.73,0.86,1.69,0.77,aaaeraaaevelik
73412.00,1053.64,419.70,224.04,74165.00,305.73,0.85,0.99,0.65,0.83,1.87,0.73,aaaeraaaevelik
69144.00,1037.54,414.10,214.22,70111.00,296.71,0.86,0.99,0.70,0.81,1.93,0.72,aaaeraaaevelik
69573.00,1005.84,390.96,227.71,70068.00,297.63,0.81,0.99,0.68,0.86,1.72,0.76,aaaeraaaevelik
65375.00,953.06,355.06,235.07,65995.00,288.51,0.75,0.99,0.74,0.90,1.51,0.81,aaaeraaaevelik
65563.00,984.77,393.32,212.88,66035.00,288.92,0.84,0.99,0.73,0.85,1.85,0.73,aaaeraaaevelik
86505.00,1144.63,452.93,244.32,87227.00,331.88,0.84,0.99,0.72,0.83,1.85,0.73,aaaeraaaevelik
74948.00,1068.90,426.05,224.79,75700.00,308.91,0.85,0.99,0.68,0.82,1.90,0.73,aaaeraaaevelik
92547.00,1214.38,493.49,239.83,93424.00,343.27,0.87,0.99,0.61,0.79,2.06,0.70,aaaeraaaevelik
73326.00,1048.65,408.79,229.64,74342.00,305.55,0.83,0.99,0.72,0.84,1.78,0.75,aaaeraaaevelik
93586.00,1162.97,448.77,266.09,94454.00,345.19,0.81,0.99,0.74,0.87,1.69,0.77,aaaeraaaevelik
73586.00,1020.92,394.89,238.02,74109.00,306.09,0.80,0.99,0.75,0.89,1.66,0.78,aaaeraaaevelik
76753.00,1039.69,385.12,255.13,77503.00,312.61,0.75,0.99,0.73,0.89,1.51,0.81,aaaeraaaevelik
65594.00,976.82,384.74,218.01,66003.00,288.99,0.82,0.99,0.74,0.86,1.76,0.75,aaaeraaaevelik
77658.00,1060.76,406.27,244.95,78446.00,314.45,0.80,0.99,0.73,0.87,1.66,0.77,aaaeraaaevelik
91455.00,1203.49,491.33,237.47,92255.00,341.24,0.88,0.99,0.68,0.79,2.07,0.69,aaaeraaaevelik
82425.00,1104.45,433.29,243.22,83167.00,323.95,0.83,0.99,0.73,0.85,1.78,0.75,aaaeraaaevelik
65422.00,1008.42,395.40,211.47,66261.00,288.61,0.85,0.99,0.67,0.81,1.87,0.73,aaaeraaaevelik
68663.00,1001.80,392.37,223.86,69265.00,295.68,0.82,0.99,0.73,0.86,1.75,0.75,aaaeraaaevelik
79424.00,1118.60,456.59,222.92,80134.00,318.00,0.87,0.99,0.75,0.80,2.05,0.70,aaaeraaaevelik
69375.00,1020.07,400.87,221.58,69988.00,297.21,0.83,0.99,0.71,0.84,1.81,0.74,aaaeraaaevelik
80306.00,1106.96,431.70,237.51,81047.00,319.76,0.84,0.99,0.73,0.82,1.82,0.74,aaaeraaaevelik
77348.00,1062.43,402.68,245.83,78431.00,313.82,0.79,0.99,0.72,0.86,1.64,0.78,aaaeraaaevelik
78607.00,1104.86,444.48,225.74,79242.00,316.36,0.86,0.99,0.69,0.81,1.97,0.71,aaaeraaaevelik
76249.00,1064.51,421.72,230.65,76789.00,311.58,0.84,0.99,0.73,0.85,1.83,0.74,aaaeraaaevelik
87599.00,1148.24,448.25,249.56,88453.00,333.97,0.83,0.99,0.74,0.83,1.80,0.75,aaaeraaaevelik
94940.00,1221.54,488.83,248.79,96135.00,347.68,0.86,0.99,0.74,0.80,1.96,0.71,aaaeraaaevelik
67761.00,1001.31,380.50,228.13,68454.00,293.73,0.80,0.99,0.73,0.85,1.67,0.77,aaaeraaaevelik
67203.00,997.91,390.54,219.80,67844.00,292.52,0.83,0.99,0.70,0.85,1.78,0.75,aaaeraaaevelik
80955.00,1121.40,452.05,228.47,81700.00,321.05,0.86,0.99,0.75,0.81,1.98,0.71,aaaeraaaevelik
82069.00,1125.65,448.91,233.60,82876.00,323.25,0.85,0.99,0.72,0.81,1.92,0.72,aaaeraaaevelik
74986.00,1077.19,428.89,223.47,75741.00,308.99,0.85,0.99,0.71,0.81,1.92,0.72,aaaeraaaevelik
71563.00,1010.25,388.08,235.19,72103.00,301.86,0.80,0.99,0.70,0.88,1.65,0.78,aaaeraaaevelik
85196.00,1160.29,460.62,236.25,86017.00,329.36,0.86,0.99,0.65,0.80,1.95,0.72,aaaeraaaevelik
89165.00,1137.67,435.43,261.41,89981.00,336.94,0.80,0.99,0.73,0.87,1.67,0.77,aaaeraaaevelik
77994.00,1053.61,388.76,256.47,78700.00,315.13,0.75,0.99,0.73,0.88,1.52,0.81,aaaeraaaevelik
87120.00,1173.54,472.97,235.93,88305.00,333.05,0.87,0.99,0.74,0.79,2.00,0.70,aaaeraaaevelik
76931.00,1102.16,447.63,219.99,77912.00,312.97,0.87,0.99,0.76,0.80,2.03,0.70,aaaeraaaevelik
84697.00,1132.22,443.86,243.48,85817.00,328.39,0.84,0.99,0.66,0.83,1.82,0.74,aaaeraaaevelik
78088.00,1124.59,456.02,218.67,78855.00,315.32,0.88,0.99,0.66,0.78,2.09,0.69,aaaeraaaevelik
68012.00,1037.62,414.45,209.97,68847.00,294.27,0.86,0.99,0.73,0.79,1.97,0.71,aaaeraaaevelik
84259.00,1139.64,456.03,235.70,84990.00,327.54,0.86,0.99,0.75,0.82,1.93,0.72,aaaeraaaevelik
65411.00,962.03,359.53,232.53,66102.00,288.59,0.76,0.99,0.73,0.89,1.55,0.80,aaaeraaaevelik
65765.00,998.34,394.61,213.09,66690.00,289.37,0.84,0.99,0.70,0.83,1.85,0.73,aaaeraaaevelik
87681.00,1125.86,431.12,260.96,88512.00,334.12,0.80,0.99,0.72,0.87,1.65,0.78,aaaeraaaevelik
98296.00,1181.85,448.31,281.35,99065.00,353.77,0.78,0.99,0.73,0.88,1.59,0.79,aaaeraaaevelik
79754.00,1132.59,459.81,222.03,80858.00,318.66,0.88,0.99,0.67,0.78,2.07,0.69,aaaeraaaevelik
98457.00,1218.75,465.89,270.69,99556.00,354.06,0.81,0.99,0.73,0.83,1.72,0.76,aaaeraaaevelik
78511.00,1114.00,454.57,220.99,79257.00,316.17,0.87,0.99,0.71,0.80,2.06,0.70,aaaeraaaevelik
69070.00,1002.06,384.58,230.30,69623.00,296.55,0.80,0.99,0.72,0.86,1.67,0.77,aaaeraaaevelik
82029.00,1103.21,428.69,245.00,83039.00,323.18,0.82,0.99,0.73,0.85,1.75,0.75,aaaeraaaevelik
74565.00,1108.60,447.51,212.79,75400.00,308.12,0.88,0.99,0.70,0.76,2.10,0.69,aaaeraaaevelik
69452.00,1015.37,406.60,217.97,70038.00,297.37,0.84,0.99,0.74,0.85,1.87,0.73,aaaeraaaevelik
70305.00,1053.98,429.96,209.72,71159.00,299.19,0.87,0.99,0.74,0.80,2.05,0.70,aaaeraaaevelik
95964.00,1202.76,479.37,255.76,96683.00,349.55,0.85,0.99,0.69,0.83,1.87,0.73,aaaeraaaevelik
82618.00,1156.90,481.48,219.66,83448.00,324.33,0.89,0.99,0.76,0.78,2.19,0.67,aaaeraaaevelik
62908.00,984.10,396.71,202.56,63490.00,283.01,0.86,0.99,0.66,0.82,1.96,0.71,aaaeraaaevelik
73830.00,1049.96,408.96,231.25,74577.00,306.60,0.82,0.99,0.65,0.84,1.77,0.75,aaaeraaaevelik
64557.00,962.80,371.52,222.74,65056.00,286.70,0.80,0.99,0.72,0.88,1.67,0.77,aaaeraaaevelik
82316.00,1121.28,437.41,241.75,83860.00,323.74,0.83,0.98,0.75,0.82,1.81,0.74,aaaeraaaevelik
73223.00,1052.52,417.82,224.91,74367.00,305.34,0.84,0.98,0.67,0.83,1.86,0.73,aaaeraaaevelik
61280.00,973.89,386.92,204.31,62284.00,279.33,0.85,0.98,0.73,0.81,1.89,0.72,aaaeraaaevelik
66086.00,992.48,388.68,217.68,66864.00,290.07,0.83,0.99,0.73,0.84,1.79,0.75,aaaeraaaevelik
87080.00,1160.40,463.61,241.04,87925.00,332.98,0.85,0.99,0.72,0.81,1.92,0.72,aaaeraaaevelik
75985.00,1094.90,446.78,217.73,76839.00,311.04,0.87,0.99,0.71,0.80,2.05,0.70,aaaeraaaevelik
66846.00,1000.91,399.25,213.96,67418.00,291.74,0.84,0.99,0.75,0.84,1.87,0.73,aaaeraaaevelik
88283.00,1147.21,454.14,248.50,88978.00,335.27,0.84,0.99,0.67,0.84,1.83,0.74,aaaeraaaevelik
73832.00,1030.21,393.98,239.50,74641.00,306.60,0.79,0.99,0.71,0.87,1.65,0.78,aaaeraaaevelik
70595.00,1028.38,406.06,222.37,71268.00,299.81,0.84,0.99,0.66,0.84,1.83,0.74,aaaeraaaevelik
59768.00,959.72,388.31,196.78,60292.00,275.86,0.86,0.99,0.72,0.82,1.97,0.71,aaaeraaaevelik
65320.00,1001.01,399.91,210.65,66404.00,288.39,0.85,0.98,0.65,0.82,1.90,0.72,aaaeraaaevelik
84611.00,1140.26,462.29,233.33,85284.00,328.22,0.86,0.99,0.68,0.82,1.98,0.71,aaaeraaaevelik
64399.00,960.61,354.45,233.23,65314.00,286.35,0.75,0.99,0.71,0.88,1.52,0.81,aaaeraaaevelik
61828.00,952.93,369.55,214.63,62580.00,280.57,0.81,0.99,0.76,0.86,1.72,0.76,aaaeraaaevelik
64236.00,963.38,365.89,225.62,65186.00,285.99,0.79,0.99,0.73,0.87,1.62,0.78,aaaeraaaevelik
69119.00,1004.55,398.42,221.49,69560.00,296.66,0.83,0.99,0.68,0.86,1.80,0.74,aaaeraaaevelik
67342.00,995.00,382.93,225.38,68007.00,292.82,0.81,0.99,0.71,0.85,1.70,0.76,aaaeraaaevelik
71531.00,1006.50,380.70,240.20,72073.00,301.79,0.78,0.99,0.72,0.89,1.59,0.79,aaaeraaaevelik
80791.00,1129.16,444.15,234.12,81752.00,320.73,0.85,0.99,0.74,0.80,1.90,0.72,aaaeraaaevelik
60925.00,957.32,375.98,207.42,61599.00,278.52,0.83,0.99,0.71,0.84,1.81,0.74,aaaeraaaevelik
61567.00,1092.55,383.96,207.75,64254.00,279.98,0.84,0.96,0.70,0.65,1.85,0.73,aaaeraaaevelik
67658.00,1000.45,385.50,225.64,68313.00,293.50,0.81,0.99,0.70,0.85,1.71,0.76,aaaeraaaevelik
71327.00,1035.46,415.73,219.37,72057.00,301.36,0.85,0.99,0.69,0.84,1.90,0.72,aaaeraaaevelik
80009.00,1096.17,423.30,241.34,80890.00,319.17,0.82,0.99,0.70,0.84,1.75,0.75,aaaeraaaevelik
79991.00,1107.47,437.52,233.39,80846.00,319.14,0.85,0.99,0.74,0.82,1.87,0.73,aaaeraaaevelik
70162.00,1047.63,420.98,213.56,71039.00,298.89,0.86,0.99,0.70,0.80,1.97,0.71,aaaeraaaevelik
75398.00,1096.78,438.04,220.76,76592.00,309.84,0.86,0.98,0.70,0.79,1.98,0.71,aaaeraaaevelik
63314.00,937.29,345.69,234.47,63784.00,283.93,0.73,0.99,0.74,0.91,1.47,0.82,aaaeraaaevelik
81221.00,1088.57,415.80,249.45,81921.00,321.58,0.80,0.99,0.73,0.86,1.67,0.77,aaaeraaaevelik
92201.00,1199.31,482.78,244.24,92937.00,342.63,0.86,0.99,0.74,0.81,1.98,0.71,aaaeraaaevelik
73755.00,1093.95,438.54,215.48,74864.00,306.44,0.87,0.99,0.59,0.77,2.04,0.70,aaaeraaaevelik
67193.00,1027.89,412.36,208.25,67886.00,292.49,0.86,0.99,0.76,0.80,1.98,0.71,aaaeraaaevelik
77047.00,1081.92,419.24,234.84,77801.00,313.21,0.83,0.99,0.73,0.83,1.79,0.75,aaaeraaaevelik
76657.00,1080.80,422.31,231.64,77515.00,312.41,0.84,0.99,0.73,0.82,1.82,0.74,aaaeraaaevelik
83801.00,1137.99,448.66,238.98,84733.00,326.65,0.85,0.99,0.74,0.81,1.88,0.73,aaaeraaaevelik
99043.00,1201.08,461.93,274.14,99963.00,355.11,0.80,0.99,0.72,0.86,1.69,0.77,aaaeraaaevelik
72777.00,1066.96,430.22,217.25,73339.00,304.41,0.86,0.99,0.71,0.80,1.98,0.71,aaaeraaaevelik
65204.00,984.47,383.35,217.11,65771.00,288.13,0.82,0.99,0.67,0.85,1.77,0.75,aaaeraaaevelik
90643.00,1160.61,453.15,255.28,91366.00,339.72,0.83,0.99,0.75,0.85,1.78,0.75,aaaeraaaevelik
69052.00,1001.69,384.25,230.05,69692.00,296.51,0.80,0.99,0.73,0.86,1.67,0.77,aaaeraaaevelik
64896.00,1039.32,430.12,193.07,66107.00,287.45,0.89,0.98,0.64,0.76,2.23,0.67,aaaeraaaevelik
81601.00,1095.82,418.42,249.62,82693.00,322.33,0.80,0.99,0.75,0.85,1.68,0.77,aaaeraaaevelik
70609.00,1011.30,393.83,228.64,71270.00,299.84,0.81,0.99,0.68,0.87,1.72,0.76,aaaeraaaevelik
97447.00,1172.02,448.69,276.99,98077.00,352.24,0.79,0.99,0.76,0.89,1.62,0.79,aaaeraaaevelik
95173.00,1192.18,463.37,262.56,96002.00,348.11,0.82,0.99,0.71,0.84,1.76,0.75,aaaeraaaevelik
99850.00,1242.63,489.79,261.00,101228.00,356.56,0.85,0.99,0.74,0.81,1.88,0.73,aaaeraaaevelik
70434.00,1031.38,407.49,220.79,71200.00,299.47,0.84,0.99,0.67,0.83,1.85,0.73,aaaeraaaevelik
91706.00,1171.37,453.44,259.01,92969.00,341.71,0.82,0.99,0.70,0.84,1.75,0.75,aaaeraaaevelik
71200.00,1031.47,407.46,223.37,71820.00,301.09,0.84,0.99,0.70,0.84,1.82,0.74,aaaeraaaevelik
66682.00,1004.94,385.99,221.40,67537.00,291.38,0.82,0.99,0.65,0.83,1.74,0.75,aaaeraaaevelik
81425.00,1120.92,450.32,230.95,82394.00,321.98,0.86,0.99,0.73,0.81,1.95,0.72,aaaeraaaevelik
84429.00,1171.97,475.09,229.33,85639.00,327.87,0.88,0.99,0.67,0.77,2.07,0.69,aaaeraaaevelik
67985.00,1001.04,391.07,222.60,68625.00,294.21,0.82,0.99,0.73,0.85,1.76,0.75,aaaeraaaevelik
69474.00,1048.07,428.17,207.50,70234.00,297.42,0.87,0.99,0.64,0.79,2.06,0.69,aaaeraaaevelik
61352.00,964.36,381.33,206.30,61996.00,279.49,0.84,0.99,0.71,0.83,1.85,0.73,aaaeraaaevelik
93270.00,1195.75,472.18,253.71,94585.00,344.61,0.84,0.99,0.64,0.82,1.86,0.73,aaaeraaaevelik
80759.00,1134.33,451.41,229.56,82166.00,320.66,0.86,0.98,0.71,0.79,1.97,0.71,aaaeraaaevelik
87336.00,1203.83,481.39,231.95,88856.00,333.47,0.88,0.98,0.63,0.76,2.08,0.69,aaaeraaaevelik
86264.00,1142.90,459.29,239.85,87031.00,331.41,0.85,0.99,0.75,0.83,1.91,0.72,aaaeraaaevelik
71368.00,1053.51,427.34,213.18,72230.00,301.44,0.87,0.99,0.73,0.81,2.00,0.71,aaaeraaaevelik
87049.00,1124.76,419.62,266.63,88432.00,332.92,0.77,0.98,0.74,0.86,1.57,0.79,aaaeraaaevelik
57907.00,949.80,387.48,191.25,58497.00,271.53,0.87,0.99,0.71,0.81,2.03,0.70,aaaeraaaevelik
72882.00,1046.46,407.27,228.84,74144.00,304.62,0.83,0.98,0.67,0.84,1.78,0.75,aaaeraaaevelik
79709.00,1142.18,479.81,212.19,80310.00,318.57,0.90,0.99,0.62,0.77,2.26,0.66,aaaeraaaevelik
68292.00,982.05,368.69,237.17,68891.00,294.88,0.77,0.99,0.72,0.89,1.55,0.80,aaaeraaaevelik
63837.00,948.06,360.84,226.03,64372.00,285.10,0.78,0.99,0.72,0.89,1.60,0.79,aaaeraaaevelik
63474.00,958.93,366.55,221.18,64122.00,284.28,0.80,0.99,0.70,0.87,1.66,0.78,aaaeraaaevelik
82330.00,1118.72,443.33,237.83,83009.00,323.77,0.84,0.99,0.69,0.83,1.86,0.73,aaaeraaaevelik
77120.00,1115.79,463.20,212.41,77770.00,313.36,0.89,0.99,0.60,0.78,2.18,0.68,aaaeraaaevelik
72940.00,1080.59,440.19,212.90,73668.00,304.75,0.88,0.99,0.60,0.79,2.07,0.69,aaaeraaaevelik
56533.00,899.49,345.59,209.80,57101.00,268.29,0.79,0.99,0.71,0.88,1.65,0.78,aaaeraaaevelik
71777.00,1078.08,448.58,204.39,72611.00,302.31,0.89,0.99,0.77,0.78,2.19,0.67,aaaeraaaevelik
75655.00,1078.57,433.03,223.27,76640.00,310.37,0.86,0.99,0.74,0.82,1.94,0.72,aaaeraaaevelik
77320.00,1054.15,401.51,246.48,78314.00,313.76,0.79,0.99,0.74,0.87,1.63,0.78,aaaeraaaevelik
61326.00,932.09,359.46,217.77,61772.00,279.43,0.80,0.99,0.75,0.89,1.65,0.78,aaaeraaaevelik
72923.00,1045.77,412.99,226.06,73590.00,304.71,0.84,0.99,0.74,0.84,1.83,0.74,aaaeraaaevelik
63618.00,946.48,356.70,227.52,64165.00,284.61,0.77,0.99,0.74,0.89,1.57,0.80,aaaeraaaevelik
70217.00,1009.96,391.49,229.49,70833.00,299.00,0.81,0.99,0.69,0.87,1.71,0.76,aaaeraaaevelik
71711.00,1066.11,434.24,211.07,72631.00,302.17,0.87,0.99,0.76,0.79,2.06,0.70,aaaeraaaevelik
62673.00,997.19,393.63,203.69,63475.00,282.48,0.86,0.99,0.72,0.79,1.93,0.72,aaaeraaaevelik
79861.00,1123.12,450.55,226.37,80649.00,318.88,0.86,0.99,0.68,0.80,1.99,0.71,aaaeraaaevelik
83083.00,1134.79,446.32,237.57,84106.00,325.25,0.85,0.99,0.71,0.81,1.88,0.73,aaaeraaaevelik
67157.00,1033.87,423.71,202.52,67798.00,292.42,0.88,0.99,0.72,0.79,2.09,0.69,aaaeraaaevelik
95508.00,1224.64,446.77,279.62,98182.00,348.72,0.78,0.97,0.77,0.80,1.60,0.78,aaaeraaaevelik
103786.00,1281.89,520.54,254.69,104686.00,363.52,0.87,0.99,0.76,0.79,2.04,0.70,aaaeraaaevelik
95145.00,1173.39,444.14,273.36,96080.00,348.06,0.79,0.99,0.75,0.87,1.62,0.78,aaaeraaaevelik
71795.00,1055.30,402.52,228.97,72637.00,302.34,0.82,0.99,0.70,0.81,1.76,0.75,aaaeraaaevelik
86455.00,1161.07,463.08,238.16,87340.00,331.78,0.86,0.99,0.68,0.81,1.94,0.72,aaaeraaaevelik
66301.00,1021.67,402.01,210.74,67036.00,290.55,0.85,0.99,0.75,0.80,1.91,0.72,aaaeraaaevelik
71390.00,1052.83,409.93,222.86,72305.00,301.49,0.84,0.99,0.65,0.81,1.84,0.74,aaaeraaaevelik
69113.00,1058.50,422.24,213.07,70458.00,296.64,0.86,0.98,0.65,0.78,1.98,0.70,aaaeraaaevelik
91077.00,1141.85,423.10,275.13,92023.00,340.53,0.76,0.99,0.74,0.88,1.54,0.80,aaaeraaaevelik
